,code,libelle
77,C1401,Agent administratif / Agente administrative banque ou assurance
78,C1501,Gestionnaire de copropriété
79,C1502,Chargé / Chargée de gestion locative en immobilier
80,C1503,Chargé / Chargée d'affaires immobilières
81,B1701,Taxidermiste
82,B1801,Chapelier / Chapelière
83,B1802,Maroquinier / Maroquinière
84,B1803,Couturier / Couturière
85,B1804,Brodeur / Brodeuse
86,B1805,Styliste
87,B1806,Tapissier / Tapissière d'ameublement
88,C1101,Chargé / Chargée de produit en assurances
89,C1102,Conseiller / Conseillère en assurances
90,C1103,Courtier / Courtière en assurance
91,D1103,Charcutier-traiteur / Charcutière-traiteuse
92,D1104,Pâtissier / Pâtissière
93,D1105,Poissonnier / Poissonnière
94,D1106,Épicier / Épicière
95,D1107,Grossiste en produits frais
96,D1201,Brocanteur / Brocanteuse
97,D1202,Coiffeur / Coiffeuse
98,D1203,Agent thermal / Agente thermale
99,D1204,Loueur / Loueuse de véhicules
100,D1507,Employé / Employée de libre-service
101,D1508,Responsable de caisses
102,D1509,Responsable de département en grande distribution
103,E1101,Animateur / Animatrice de communauté virtuelle
104,E1102,Écrivain / Écrivaine
105,E1103,Chargé / Chargée des relations publiques
106,E1104,Concepteur / Conceptrice de contenus multimedia
107,E1105,Éditeur / Éditrice
108,F1106,Ingénieur / Ingénieure d'études BTP
109,F1107,Géomètre-topographe
110,E1303,Responsable d'atelier d'impression
111,E1304,Agent / Agente de façonnage et routage
112,E1305,Correcteur / Correctrice
113,E1306,Opérateur / Opératrice de prépresse
114,E1307,Reprographe
115,E1308,Technicien / Technicienne des industries graphiques
116,E1401,Chef / Cheffe de publicité
117,E1402,Média Planneur / Planneuse
118,F1101,Architecte
119,F1102,Architecte d'intérieur
120,F1103,Diagnostiqueur / Diagnostiqueuse immobilier
121,F1104,Dessinateur / Dessinatrice du BTP
122,F1105,Géologue
123,C1504,Conseiller / Conseillère immobilier
124,D1101,Boucher / Bouchère
125,D1102,Boulanger / Boulangère
126,F1402,Extracteur / Extractrice de roches
127,F1501,Poseur / Poseuse de charpentes ou constructions bois
128,F1502,Échafaudeur / Échafaudeuse
129,F1503,Charpentier / Charpentière
130,F1601,Plâtrier / Plâtrière
131,F1602,Électricien / Électricienne du bâtiment
132,F1302,Conducteur / Conductrice d'engins de chantier
133,F1108,Métreur / Métreuse de la construction
134,F1201,Conducteur / Conductrice de travaux
135,F1202,Chef / Cheffe de chantier
136,F1203,Responsable d'exploitation de gisements et de carrières
137,F1204,Animateur / Animatrice QSE - Qualité Sécurité Environnement BTP
138,F1301,Grutier / Grutière
139,E1106,Journaliste
140,E1107,Chef / Cheffe de projet événementiel
141,E1108,Traducteur / Traductrice
142,E1201,Photographe
143,E1202,Employé / Employée de laboratoire cinématographique
144,E1203,Développeur / Développeuse de photographies
145,E1204,Projectionniste
146,E1205,Graphiste
147,E1301,Conducteur / Conductrice de machines d'impression
148,E1302,Conducteur / Conductrice de machines de façonnage routage
149,F1604,Plaquiste
150,D1408,Téléconseiller / Téléconseillère
151,D1501,Animateur / Animatrice des ventes
152,D1502,Chef / Cheffe de rayon alimentaire
153,D1503,Chef / Cheffe de rayon de produits non alimentaires
154,D1504,Directeur / Directrice de magasin
155,D1505,Caissier / Caissière
156,D1506,Marchandiseur / Marchandiseuse
157,H1102,Ingénieur / Ingénieure d'affaires en industrie
158,H1201,Coloriste en industrie
159,H1202,Dessinateur / Dessinatrice en électricité-électronique
160,H1203,Dessinateur-projeteur / Dessinatrice-projeteuse en mécanique
161,H1204,Designer industriel / Designeuse industrielle
162,H1205,Modéliste en industrie
163,H1206,Ingénieur / Ingénieure R&D en industrie
164,F1605,Électricien / Électricienne réseaux
165,F1606,Peintre en bâtiment
166,F1607,Menuisier / Menuisière aluminium
167,F1608,Carreleur / Carreleuse
168,F1609,Solier / Solière
169,F1610,"Installateur mainteneur / Installatrice mainteneuse en systèmes solaires, thermiques et photovoltaïques"
170,F1611,Façadier / Façadière
171,G1502,Employé / Employée d'hôtel
172,G1503,Gouvernant / Gouvernante d'hôtel
173,G1202,Animateur / Animatrice d'activités culturelles et de loisirs
174,G1203,Animateur / Animatrice auprès des jeunes
175,G1204,Éducateur sportif / Éducatrice sportive
176,G1205,Opérateur / Opératrice d'attraction
177,G1206,Croupier / Croupière
178,G1301,Chef / Cheffe de produit touristique
179,G1302,Yield manager
180,G1303,Agent / Agente de voyages
181,G1401,Adjoint / Adjointe de direction en hôtellerie-restauration
182,G1402,Directeur / Directrice d'établissement en hôtellerie-restauration
183,G1403,Directeur / Directrice de structure touristique
184,G1404,Responsable d'établissement de restauration collective
185,G1501,Employé / Employée d'étage
186,G1804,Sommelier / Sommelière
187,H1101,Ingénieur / Ingénieure support technique
188,H1207,Rédacteur / Rédactrice technique
189,H1208,Automaticien / Automaticienne en bureau d'études
190,H1209,Technicien / Technicienne études électroniques
191,H1210,Technicien / Technicienne R&D
192,H1301,Inspecteur / Inspectrice de conformité
193,H1302,Responsable Hygiène Sécurité Environnement (HSE) en industrie
194,H1401,Responsable ordonnancement-lancement-planification en industrie
195,G1601,Chef / Cheffe de cuisine
196,G1602,Commis / Commise de cuisine
197,G1603,Équipier polyvalent / Équipière polyvalente de restauration rapide
198,G1604,Pizzaïolo / Pizzaïola
199,G1605,Plongeur officier / Plongeuse officière de cuisine
200,G1701,Concierge d'hôtel
201,F1612,Tailleur / Tailleuse de pierre
202,F1613,Étancheur / Étancheuse
203,F1701,Coffreur / Coffreuse
204,F1702,Ouvrier / Ouvrière en voiries
205,F1703,Maçon / Maçonne
206,F1704,Manœuvre bâtiment
207,F1705,Poseur / Poseuse de canalisations
208,F1706,Armaturier / Armaturière de l'industrie du béton
209,G1101,Agent / Agente d'accueil touristique
210,G1102,Chargé / Chargée de promotion touristique
211,G1201,Guide-accompagnateur / Guide-accompagnatrice
212,F1401,Foreur / Foreuse
213,G1702,Bagagiste en établissement hôtelier
214,G1703,Réceptionniste
215,G1801,Barman / Barmaid
216,G1802,Maître / Maîtresse d'hôtel
217,G1803,Serveur / Serveuse en restauration
218,H1303,"Technicien / Technicienne en Hygiène, Sécurité, Environnement industriel (HSE)"
219,H1504,Contrôleur / Contrôleuse technique en électricité-électronique
220,H1505,Nez
221,H1506,Contrôleur / Contrôleuse technique en métallurgie
222,H2101,Ouvrier / Ouvrière d'abattoir
223,H2102,Conducteur / Conductrice de ligne en industrie alimentaire
224,H2201,Assembleur / Assembleuse d'ouvrages en bois
225,H2412,Patronnier / Patronnière
226,H2413,Opérateur / Opératrice de préparation en industrie textile
227,H2301,Conducteur / Conductrice de ligne en industrie chimique
228,H2401,"Opérateur / Opératrice de fabrication industrie des cuirs, peaux et matériaux associés"
229,H2402,Couturier industriel / Couturière industrielle de l'habillement
230,H2403,Conducteur / Conductrice de machines de fabrication de produits textiles
231,H2404,Conducteur / Conductrice de machine de production et transformation des fils
232,H2405,Conducteur / Conductrice de ligne de production de textiles non-tissés
233,H2406,Conducteur / Conductrice de machines de traitement textile
234,H2407,Opérateur / Opératrice sur machine de transformation et de finition des cuirs et peaux
235,H2408,Imprimeur / Imprimeuse textile
236,H2409,Coupeur / Coupeuse en industrie textile et matériaux souples
237,H2410,Opérateur / Opératrice de finition en industrie du textile
238,H2411,Monteur / Monteuse prototypiste cuir et matériaux souples
239,H2504,Chef / Cheffe d'équipe en industrie
240,H2505,Chef / Cheffe d'équipe et d'atelier textile
241,H2601,Bobinier / Bobinière en électricité
242,H2602,Câbleur / Câbleuse d'armoires
243,H2603,Opérateur / Opératrice sur machines automatisées en production électrique
244,H2604,Assembleur / Assembleuse en produits électriques et électroniques
245,H2605,Monteur-câbleur / Monteuse-câbleuse en électronique
246,I1202,Agent / Agente d'entretien de la voirie
247,I1203,Agent / Agente d'entretien du bâtiment
248,H2414,"Opérateur / Opératrice de préparation ou de finition sur articles de cuirs, peaux ou matériaux associés"
249,H2415,Contrôleur / Contrôleuse en industrie textile
250,H2501,Chef / Cheffe d'atelier production électricité-électronique
251,H2502,Responsable d'unité de production industrielle
252,H2503,Responsable d'îlot de production
253,I1201,Afficheur / Afficheuse
254,H2202,Conducteur / Conductrice de machines à bois
255,H2203,Machiniste en fabrications de panneaux de bois
256,H2204,Contremaître / Contremaîtresse en menuiserie
257,H2205,Ouvrier / Ouvrière de scierie
258,H2206,Menuisier / Menuisière
259,H2207,Ébéniste
260,H2208,Sculpteur / Sculptrice sur bois
261,H2209,Dessinateur / Dessinatrice de structures en bois
262,H1402,Ingénieur / Ingénieure méthodes et process
263,H1403,Gestionnaire de flux de production
264,H1404,Technicien / Technicienne méthodes
265,H1501,Ingénieur / Ingénieure d'analyse industrielle
266,H1502,Responsable qualité en industrie
267,H1503,Technicien / Technicienne de laboratoire en industrie
268,I1309,Électricien / Électricienne de maintenance
269,I1310,Mécanicien / Mécanicienne de maintenance industrielle
270,I1401,Technicien / Technicienne de maintenance en informatique
271,I1402,Technicien / Technicienne SAV
272,I1501,Cordiste
273,H2701,Technicien / Technicienne énergie
274,H2801,Agent / Agente de fabrication du verre
275,H2802,Opérateur / Opératrice de fabrication en matériaux de construction
276,H2803,Opérateur / Opératrice de production en céramique
277,H2804,Pilote de centrale de béton
278,H2805,Technicien / Technicienne de l'industrie du verre
279,H2901,Ajusteur-monteur / Ajusteuse-monteuse
280,H3303,Cuisinier / Cuisinière en industrie chimique
281,H3401,Opérateur / Opératrice de traitement d'abrasion de surface
282,H2911,Métallier / Métallière
283,H2912,Régleur / Régleuse d'équipements industriels
284,H2913,Soudeur / Soudeuse
285,H2914,Tuyauteur / Tuyauteuse
286,H3101,Conducteur / Conductrice de machines à papier ou carton
287,H3102,Conducteur / Conductrice d'installation de pâte à papier
288,H3201,Plasturgiste
289,H3202,Monteur régleur / Monteuse régleuse en plasturgie
290,H3203,Mouleur-stratifieur / Mouleuse-stratifieuse
291,H3301,Conducteur / Conductrice de ligne de conditionnement
292,H3302,Agent / Agente de conditionnement
293,I1503,Technicien / Technicienne en risques technologiques
294,I1601,Préparateur / Préparatrice de bateau
295,I1602,Mécanicien / Mécanicienne aéronautique
296,I1603,Mécanicien-réparateur / Mécanicienne-réparatrice en matériels agricoles
297,I1604,Mécanicien / Mécanicienne automobile
298,I1605,Mécanicien / Mécanicienne en mécanique marine/navale
299,I1307,Installateur / Installatrice fibre optique
300,I1606,Carrossier-peintre / Carrossière-peintre
301,I1607,Mécanicien / Mécanicienne motocycles
302,H3402,Agent / Agente de traitement de surface
303,H3403,Opérateur / Opératrice de traitement thermique
304,H3404,Peintre industriel / Peintre industrielle
305,I1101,Directeur / Directrice des travaux bâtiment
306,I1102,Ingénieur / Ingénieure de maintenance industrielle
307,I1103,Chef d'atelier automobile
308,H2902,Chaudronnier / Chaudronnière
309,H2903,Tourneur-fraiseur / Tourneuse-fraiseuse
310,H2904,Forgeron industriel / Forgeronne industrielle
311,H2905,Cisailleur / Cisailleuse en métallurgie
312,H2906,Opérateur / Opératrice en fabrication mécanique
313,H2907,Fondeur / Fondeuse en métallurgie
314,H2908,Modeleur / Modeleuse
315,H2909,Assembleur monteur / Assembleuse monteuse
316,H2910,Mouleur noyauteur / Mouleuse noyauteuse
317,I1301,Ascensoriste
318,I1302,Technicien / Technicienne de maintenance d'installations automatisées
319,I1303,Technicien / Technicienne de maintenance de distributeurs automatiques
320,I1304,Technicien / Technicienne de maintenance industrielle
321,I1305,Électronicien / Électronicienne de maintenance
322,I1306,Frigoriste
323,I1502,Scaphandrier / Scaphandrière
324,I1308,Technicien / Technicienne chauffagiste
325,J1303,Assistant médical / Assistante médicale
326,J1304,Auxiliaire de puériculture
327,J1305,Ambulancier / Ambulancière
328,J1306,Manipulateur / Manipulatrice en radiologie
329,J1307,Préparateur / Préparatrice en pharmacie
330,J1401,Audioprothésiste
331,K1206,Animateur socioculturel / Animatrice socioculturelle
332,K1207,Éducateur spécialisé / Éducatrice spécialisée
333,K1301,Accompagnateur médicosocial / Accompagnatrice médicosociale
334,J1502,Cadre de santé d'unité de soins ou de service paramédical
335,J1503,Infirmier / Infirmière anesthésiste (IADE)
336,J1504,Infirmier / Infirmière de bloc opératoire (IBODE)
337,J1505,Infirmier / Infirmière de prévention
338,J1506,Infirmier / Infirmière en soins généraux (IDE)
339,J1507,Infirmier / Infirmière en puériculture
340,K1101,Médiateur familial / Médiatrice familiale
341,K1102,Mandataire judiciaire à la protection des majeurs
342,K1103,Coach en développement personnel
343,K1104,Psychologue
344,K1201,Assistant social / Assistante sociale
345,K1202,Éducateur / Éducatrice de jeunes enfants
346,K1203,Éducateur technique spécialisé / Éducatrice technique spécialisée
347,K1204,Médiateur social / Médiatrice sociale
348,K1205,Agent / Agente d'accueil social
349,K1404,Chargé / Chargée de mission développement territorial
350,K1405,Préfet / Préfète
351,K1501,Agent / Agente de constatation des douanes
352,K1502,Inspecteur / Inspectrice du travail
353,K1503,Contrôleur / Contrôleuse des impôts
354,K1504,Régisseur / Régisseuse de recettes
355,K1505,Inspecteur / Inspectrice des douanes
356,K1403,"Directeur / Directrice de structure de santé, sociale ou pénitentiaire"
357,K1302,Assistant / Assistante de vie dépendance
358,K1303,Garde d'enfant à domicile
359,K1304,Employé familial / Employée familiale de maison
360,K1401,Cadre Dirigeant / Dirigeante d'administration centrale
361,K1402,Médecin conseil
362,J1402,Diététicien / Diététicienne
363,J1403,Ergothérapeute
364,J1404,Kinésithérapeute
365,J1405,Opticien / Opticienne
366,J1406,Orthophoniste
367,J1407,Orthoptiste
368,J1408,Ostéopathe
369,J1409,Podologue
370,J1410,Prothésiste dentaire
371,J1411,Orthoprothésiste
372,J1412,Psychomotricien / Psychomotricienne
373,J1501,Aide-soignant / Aide-soignante
374,J1101,Médecin du travail et de prévention
375,J1102,Médecin généraliste
376,J1103,Dentiste
377,J1104,Homme sage-femme / Sage-femme
378,J1201,Biologiste médical / Biologiste médicale
379,J1202,Pharmacien / Pharmacienne
380,J1301,Agent / Agente de service hospitalier (ASH)
381,J1302,Technicien / Technicienne de laboratoires d'analyses médicales
382,L1202,Musicien / Musicienne
383,L1203,Comédien / Comédienne
384,L1204,Artiste de cirque
385,L1301,Metteur / Metteuse en scène
386,L1302,Producteur / Productrice de film
387,L1303,Agent / Agente de talent
388,K1601,Documentaliste
389,K1602,Conservateur / Conservatrice du patrimoine
390,K1701,Militaire du rang Combattant / Combattante
391,K1702,Responsable de sécurité civile et de secours
392,K1703,Responsable Opérationnel / Opérationnelle de la défense
393,K1704,Officier / Officière de police
394,K1705,Secouriste
395,K1706,Agent / Agente de la force publique
396,K2302,Directeur / Directrice collecte des déchets
397,K2303,Ripeur / Ripeuse
398,K2304,Agent / Agente de tri des déchets
399,K2105,Professeur / Professeure de musique
400,K2106,Professeur / Professeure des écoles
401,K2107,Professeur / Professeure de collège et de lycée
402,K2108,Professeur / Professeure des universités
403,K2109,Professeur / Professeure d'enseignement professionnel
404,K2110,Moniteur / Monitrice d'auto-école
405,K2111,Formateur / Formatrice
406,K2112,Conseiller / Conseillère d'orientation
407,K2201,Blanchisseur industriel / Blanchisseuse industrielle
408,K2202,Laveur / Laveuse de vitres
409,K2203,Responsable de site nettoyage de locaux
410,K2204,Agent / Agente de nettoyage industriel
411,K2301,Agent / Agente d'assainissement
412,L1201,Danseur / Danseuse
413,L1304,Réalisateur / Réalisatrice
414,L1401,Sportif professionnel / Sportive professionnelle
415,L1501,Maquilleur / Maquilleuse spectacle
416,L1502,Costumier / Costumière
417,L1503,Accessoiriste
418,L1504,Éclairagiste
419,K2305,Agent / Agente de désinsectisation
420,K2306,Responsable de site éco-industriel
421,K2401,Chercheur / Chercheuse en sciences humaines et sociales
422,K2402,Ingénieur / Ingénieure de recherche scientifique
423,K2501,Gardien / Gardienne
424,K1707,Policier municipal / Policière municipale
425,K1801,Conseiller / Conseillère en insertion professionnelle
426,K1802,Chargé / Chargée de développement local
427,K1901,Notaire
428,K1902,Clerc de notaire
429,K1903,Juriste
430,K1904,Juge
431,K2101,Conseiller / Conseillère en formation
432,K2102,Responsable pédagogique
433,K2103,Chef / Cheffe d'établissement
434,K2104,Surveillant / Surveillante en milieu scolaire
435,K2503,Agent / Agente de prévention et de sécurité
436,K2601,Porteur / Porteuse funéraire
437,K2602,Conseiller / Conseillère funéraire
438,K2603,Thanatopracteur / Thanatopractrice
439,L1101,Disc-jockey
440,L1102,Mannequin
441,L1103,Animateur / Animatrice radio
442,L1505,Cadreur / Cadreuse
443,M1201,Analyste Financier / Financière
444,M1202,Expert-comptable / Experte-comptable
445,M1203,Comptable
446,M1204,Contrôleur / Contrôleuse de gestion
447,M1205,Directeur administratif et financier / Directrice administrative et financière -DAF-
448,M1206,Chef comptable
449,M1207,Trésorier / Trésorière
450,M1707,Responsable Commercial / Commerciale
451,M1601,Chargé / Chargée d'accueil
452,M1602,Agent administratif / Agente administrative
453,M1603,Facteur / Factrice
454,M1604,Assistant / Assistante de direction
455,M1605,Secrétaire technique
456,M1606,Opérateur / Opératrice de saisie
457,M1607,Secrétaire
458,M1608,Secrétaire comptable
459,M1609,Secrétaire médical / Secrétaire médicale
460,M1701,Responsable de l'administration des ventes
461,M1702,Planneur / Planneuse stratégique
462,M1703,Chef / Cheffe de produit
463,M1704,Responsable relation client (CRM)
464,M1705,Responsable marketing
465,M1706,Chef de promotion des ventes
466,K2502,Responsable sécurité de site
467,N1102,Déménageur / Déménageuse
468,N1103,Préparateur / Préparatrice de commandes
469,N1104,Pontier / Pontière
470,N1105,Manutentionnaire
471,N1201,Affréteur / Affréteuse
472,M1801,Administrateur / Administratrice de systèmes d'information (SI)
473,M1802,Expert / Experte systèmes et réseaux informatiques
474,M1803,Directeur / Directrice des services informatiques -DSI-
475,M1804,Ingénieur / Ingénieure télécoms
476,M1805,Développeur / Développeuse informatique
477,M1806,Product Owner
478,M1807,Opérateur / Opératrice télécom aux armées
479,M1301,Président Directeur Général / Présidente Directrice Générale -PDG-
480,M1302,Responsable de Petite ou Moyenne Entreprise -PME-
481,M1401,Enquêteur / Enquêtrice sondage
482,M1402,Consultant / Consultante en organisation et management
483,M1403,Chargé / Chargée d'études socio-économiques
484,M1404,Sondeur enquêteur / Sondeuse enquêtrice
485,M1501,Assistant / Assistante ressources humaines
486,M1502,Chargé / Chargée de recrutement
487,M1503,Directeur / Directrice des Ressources Humaines -DRH-
488,N1202,Employé / Employée de transit
489,L1506,Machiniste spectacle
490,L1507,Monteur / Monteuse vidéo
491,L1508,Régisseur / Régisseuse du son
492,L1509,Régisseur / Régisseuse de production
493,M1101,Acheteur / Acheteuse
494,M1102,Responsable des achats
495,G1208,Entraîneur / Entraîneure de sport professionnel et de haut niveau
496,G1209,Animateur / Animatrice de loisirs sportifs
497,F1110,Dessinateur / Dessinatrice enveloppe du bâtiment
498,F1615,Poseur / Poseuse de cloisons démontables et mobiles
499,F1616,Poseur / Poseuse de menuiseries extérieures
500,F1617,Poseur / Poseuse de véranda
501,F1618,Poseur / Poseuse de façade vitrée
502,C1208,Courtier / Courtière en banque
503,N1301,Responsable logistique
504,N1302,Responsable entrepôt logistique
505,N1303,Approvisionneur / Approvisionneuse logistique
506,N2101,Steward / Hôtesse de l'air
507,N2102,Pilote de ligne
508,N4105,Chauffeur-livreur / Chauffeuse-livreuse
509,N3101,Capitaine de port
510,N3102,Marin
511,N3103,Matelot de la navigation fluviale
512,N3201,Agent / Agente de port de plaisance
513,N3202,Responsable d'exploitation transport fluvial
514,N3203,Ouvrier / Ouvrière de manutention portuaire
515,N4101,Conducteur / Conductrice de poids lourd
516,N4102,Conducteur / Conductrice de transport de particuliers
517,N4103,Conducteur / Conductrice de bus
518,N4104,Coursier / Coursière
519,N4403,Cheminot / Cheminote
520,K1305,Technicien / Technicienne Intervention Sociale et Familiale (TISF)
521,L1510,Animateur / Animatrice 3D - films d'animation
522,A1412,Fromager-affineur / Fromagère-affineuse
523,F1614,Poseur / Poseuse en fermetures de bâtiment
524,D1409,Assistant / Assistante administration des ventes
525,F1109,Assistant / Assistante géomètre
526,N4201,Responsable d'agence transport routier de marchandises
527,N4202,Responsable d'exploitation transport routier de personnes
528,N4203,Agent / Agente d'intervention technique d'exploitation des transports routiers de marchandises
529,N4204,Agent / Agente d'exploitation transport routier de personnes
530,N4301,Conducteur / Conductrice de train
531,N2201,Agent / Agente d'escale
532,N2202,Contrôleur aérien / Contrôleuse aérienne
533,N2203,Agent / Agente de piste
534,N2204,Agent / Agente de trafic aérien
535,N2205,Chef / Cheffe d'escale
536,M1808,Cartographe
537,M1809,Météorologue
538,M1810,Technicien / Technicienne informatique
539,N1101,Cariste
540,N4302,Agent / Agente de contrôle
541,N4401,Aiguilleur / Aiguilleure du rail
542,N4402,Agent / Agente d'exploitation des remontées mécaniques
543,G1211,Analyste de la performance sportive
544,A1102,Conducteur / Conductrice d'engins d'exploitation forestière
545,A1304,Conseiller / Conseillère technique agricole
546,F1707,Maçon / Maçonne du paysage
547,A1418,Viticulteur / Viticultrice
548,F1708,Installateur-poseur / Installatrice-poseuse de piscines préfabriquées
549,A1419,Ouvrier agricole polyvalent / Ouvrière agricole polyvalente
550,A1420,Chef / Cheffe de culture responsable d'unité de production agricole
551,A1421,Palefrenier soigneur / Palefrenière soigneuse
552,G1210,Enseignant / Enseignante d'équitation
553,C1505,Responsable d'agence immobilière
554,D1410,Attaché commercial / Attachée commerciale
555,D1510,Chef / Cheffe de secteur commercial
556,E1109,Directeur / Directrice de la communication
557,F1111,Ingénieur / Ingénieure génie civil
558,F1112,Ingénieur / Ingénieure calcul et structure
559,K1307,Animateur / Animatrice petite enfance
560,K1308,Agent territorial spécialisé / Agente territoriale spécialisée des écoles maternelles (ATSEM)
561,M1405,Data scientist
562,M1811,Data engineer
563,M1812,Responsable de la Sécurité des Systèmes d'Information (RSSI)
564,G1212,Animateur socio-sportif / Animatrice socio-sportive
565,M1813,Intégrateur / Intégratrice logiciels métiers
566,G1213,Chargé / Chargée de développement d'activités sportives
567,B1612,Concepteur / Conceptrice numérique en bijouterie joaillerie
568,G1405,Directeur / Directrice de structure sportive
569,F1113,Chargé / Chargée d'affaires en rénovation énergétique
570,F1114,Conseiller / Conseillère en rénovation énergétique
571,F1620,Installateur / Installatrice chauffage et climatisation
572,G1608,Ecailler / Ecaillère
573,H1211,Attaché / Attachée de recherche clinique (ARC)
574,H1507,Chargé / Chargée des affaires réglementaires
575,K1309,Accueillant familial / Accueillante familiale auprès d'enfants
576,H2103,Opérateur / Opératrice de transformation des viandes
577,G1214,Directeur sportif / Directrice sportive
578,G1207,Surveillant / Surveillante de baignade
579,C1111,Mandataire en assurance
580,E1206,UX - UI Designer
581,F1619,Couvreur / Couvreuse
582,F1709,Démolisseur / Démolisseuse
583,G1606,Cuisinier / Cuisinière de collectivité
584,G1607,Employé / Employée de restauration collective
585,J1105,Médecin coordonnateur
586,J1308,Brancardier / Brancardière
587,J1309,Agent / Agente de stérilisation de service hospitalier
588,K1306,Auxiliaire de Vie Sociale (AVS)
589,F1205,Responsable de travaux BTP
590,K1310,Assistant maternel agréé / Assistante maternelle agréée
591,K1406,Secrétaire de mairie
592,K2113,Accompagnant / Accompagnante des élèves en situation de handicap (AESH)
593,K2403,Biostatisticien / Biostatisticienne
594,K2504,Agent / Agente de sécurité événementielle
595,B1605,Bijoutier / Bijoutière
596,B1607,Lapidaire / Diamantaire
597,G1216,Moniteur / Monitrice de sport nature
598,G1217,Moniteur / Monitrice en salle de sport
599,B1608,Opérateur / Opératrice en bijouterie
600,H3405,Polisseur / Polisseuse en bijouterie ou joaillerie ou orfèvrerie
601,H3406,Opérateur / Opératrice en polissage de bijouterie ou d'orfèvrerie
602,C1112,Agent général / Agente générale d'assurance
603,G1218,Préparateur / Préparatrice physique
604,B1609,Responsable d'atelier en bijouterie ou joaillerie
605,B1610,Sertisseur / Sertisseuse en bijouterie ou joaillerie
606,B1611,Trieur / Trieuse de pierres et perles
607,G1215,Educateur sportif / Educatrice sportive Santé
608,B1606,Joaillier / Joaillière
609,K2116,Responsable d'unité d'enseignement de la conduite de véhicule
610,M1822,Ingénieur / Ingénieure systèmes et réseaux informatiques
611,G1809,Barista
612,F1122,Ingénieur / Ingénieure Chantier nucléaire
613,I1204,Agent / Agente d'entretien des piscines
614,H2418,Opérateur / Opératrice sur machine de production et transformation des fils
615,L1205,Artiste-interprète
616,B1304,Artisan démonstrateur / Artisane démonstratrice
617,K1605,Commissaire d'exposition
618,I1613,Mécanicien / Mécanicienne des véhicules des transports routiers
